"","Name","Locale","Remarks","Date","Country","Year"
"1","Dwight D. Eisenhower","Kabul","Informal visit; met with King Mohammed Zahir.","December 9, 1959","Afghanistan","1959"
"2","George W. Bush","Bagram, Kabul","Met with President Karzai, dedicated new U.S. Embassy, and addressed U.S. military personnel.","March 1, 2006","Afghanistan","2006"
"3","George W. Bush","Kabul","Met with President Karzai and visited U.S. military personnel.","December 14–15, 2008","Afghanistan","2008"
"4","Barack Obama","Kabul, Bagram","Met with President Karzai and addressed U.S. military personnel.","March 28, 2010","Afghanistan","2010"
"5","Barack Obama","Bagram","Met with the leaders of the U.S. military and diplomatic missions and visited U.S. military personnel.","December 3, 2010","Afghanistan","2010"
"6","Barack Obama","Kabul","Met with President Karzai and addressed U.S. military personnel. Signed a long-term strategic partnership agreement.","May 1–2, 2012","Afghanistan","2012"
"7","Barack Obama","Bagram","Toured the Joint Operating Center and met with U.S. military personnel.","May 25, 2014","Afghanistan","2014"
"8","Donald J. Trump","Bagram","Visited U.S. troops at Bagram Airfield.","November 28, 2019","Afghanistan","2019"
"9","George W. Bush","Tirana","Met with President Moisu and Prime Minister Berisha.","June 10, 2007","Albania","2007"
"10","Herbert C. Hoover","Buenos Aires","Good will trip. [Visit made as President-elect.]","December 13–15, 1928","Argentina","1928"
"11","Franklin Delano Roosevelt","Buenos Aires","Attended session of Inter-American Conference for the Maintenance of Peace.","November 30–December 2, 1936","Argentina","1936"
"12","Dwight D. Eisenhower","Buenos Aires, Mar del Plata, San Carlos de Bariloche","Met with President Frondizi.","February 26–29, 1960","Argentina","1960"
"13","George Herbert Walker Bush","Buenos Aires","Met with President Menem and addressed a Joint Session of the Argentinean Congress.","December 5–6, 1990","Argentina","1990"
"14","William J. Clinton","Buenos Aires, San Carlos de Bariloche","Met with President Menem; delivered several public addresses.","October 15–18, 1997","Argentina","1997"
"15","George W. Bush","Mar del Plata","Attended the Summit of the Americas.","November 3–5, 2005","Argentina","2005"
"16","Barack Obama","Buenos Aires, San Carlos de Bariloche","Met with President Mauricio Macri. Toured Llao Llao Park.","March 23–24, 2016","Argentina","2016"
"17","Donald J. Trump","Buenos Aires","Participated in the G–20 Leaders’ Summit.","November 29–December 1, 2018","Argentina","2018"
"18","Lyndon B. Johnson","Canberra, Melbourne, Sydney, Brisbane, Townsville","State visit; met with Governor General Casey and Prime Minister Holt.","October 20–23, 1966","Australia","1966"
"19","Lyndon B. Johnson","Canberra","Attended funeral of Prime Minister Holt and conferred with other attending heads of state.","December 21–22, 1967","Australia","1967"
"20","George Herbert Walker Bush","Sydney, Canberra, Melbourne","Met with Prime Minister Keating and senior Australian officials; addressed the Australian Parliament.","December 31, 1991–January 3, 1992","Australia","1991"
