"","Name","Locale","Remarks","Date","Country","Year"
"1","William Pierce Rogers","Kabul","Met with King Mohammad Zahir Shah and Prime Minister Etemadi.","May 25, 1969","Afghanistan","1969"
"2","Henry A. (Heinz Alfred) Kissinger","Kabul","Official visit. Met with Prime Minister Daoud and senior Afghan officials.","November 1, 1974","Afghanistan","1974"
"3","Henry A. (Heinz Alfred) Kissinger","Kabul","Official visit. Met with Prime Minister Daoud and senior Afghan officials.","August 8, 1976","Afghanistan","1976"
"4","Colin Luther Powell","Kabul","Met with leaders of the Afghan Interim Authority. Announced the upgrading of the U.S. Liaison Office to Embassy status.","January 17, 2002","Afghanistan","2002"
"5","Colin Luther Powell","Kabul","Met with President Karzai and with U.S. military and civilian officials.","March 17, 2004","Afghanistan","2004"
"6","Condoleezza Rice","Kabul","Met with President Karzai and Afghan political leaders; addressed U.S. military personnel.","March 17, 2005","Afghanistan","2005"
"7","Condoleezza Rice","Kabul","Met with President Karzai.","October 12, 2005","Afghanistan","2005"
"8","Condoleezza Rice","Bagram, Kabul","Accompanied President Bush.","March 1, 2006","Afghanistan","2006"
"9","Condoleezza Rice","Kabul","Met with President Karzai.","June 28, 2006","Afghanistan","2006"
"10","Condoleezza Rice","Kandahar, Kabul","Accompanied British Foreign Secretary Miliband.  Met with President Karzai.","February 7, 2008","Afghanistan","2008"
"11","Hillary Rodham Clinton","Kabul","Attended the inauguration of President Karzai.","November 18–19, 2009","Afghanistan","2009"
"12","Hillary Rodham Clinton","Kabul","Met with President Karzai and attended an international conference on the future of Afghanistan.","July 19–20, 2010","Afghanistan","2010"
"13","Hillary Rodham Clinton","Kabul","Met with President Karzai and Afghan civil leaders.","October 20, 2011","Afghanistan","2011"
"14","Hillary Rodham Clinton","Kabul","Met with President Hamid Karzai. Announced the designation of Afghanistan as a Major Non-NATO Ally.","July 7, 2012","Afghanistan","2012"
"15","John Forbes Kerry","Kabul","Met with President Hamid Karzai.","March 25–26, 2013","Afghanistan","2013"
"16","John Forbes Kerry","Kabul","Met with President Hamid Karzai. Signed Bilateral Security Agreement.","October 11–12, 2013","Afghanistan","2013"
"17","John Forbes Kerry","Kabul","Met with President Hamid Karzai, Afghan political leaders, and the head of the UN Assistance Mission.","July 11–12, 2014","Afghanistan","2014"
"18","John Forbes Kerry","Kabul","Met with President Hamid Karzai and presidential candidates Abdullah Abdullah and Ashraf Ghani.","August 7–8, 2014","Afghanistan","2014"
"19","John Forbes Kerry","Kabul","Attended the third meeting of the U.S.-Afghanistan Bilateral Commission.","April 9, 2016","Afghanistan","2016"
"20","Rex W. Tillerson","Bagram","Met with President Ashraf Ghani.","October 23, 2017","Afghanistan","2017"
"21","Michael R. Pompeo","Kabul","Met with Afghan officials.","July 9, 2018","Afghanistan","2018"
"22","Michael R. Pompeo","Kabul","Met with President Ashraf Ghani, Chief Executive Abdullah Abdullah, former President Hamid Karzai, and others to discuss next steps in the Afghan Peace Process.","June 25, 2019","Afghanistan","2019"
"23","Michael R. Pompeo","Kabul","Met with Afghan President Ashraf Ghani and Afghan Security Ministers.","March 23, 2020","Afghanistan","2020"
"24","James Addison Baker","Tirana","Met with President Alia and senior officials; addressed the Albanian Parliament.","June 22, 1991","Albania","1991"
"25","Madeleine Korbel Albright","Tirana","Met with President Meidani and Prime Minister Meta; addressed the Albanian Parliament.","February 19, 2000","Albania","2000"
"26","Colin Luther Powell","Tirana","Signed the Adriatic Charter of Partnership with the Foreign Ministers of Albania, Croatia, and Macedonia.","May 2, 2003","Albania","2003"
"27","Hillary Rodham Clinton","Tirana","Met with President Bujar Nishani, Prime Minister Sali Berisha, and Socialist Party leader Edi Rama. Addressed the Parliament and received the Order of the National Flag.","November 1, 2012","Albania","2012"
"28","John Forbes Kerry","Tirana","Met with Prime Minister Edi Rama.","February 14, 2016","Albania","2016"
"29","Henry A. (Heinz Alfred) Kissinger","Algiers","Met with President Boumediene and Foreign Affairs Minister Bouteflika.","December 13, 1973","Algeria","1973"
"30","Henry A. (Heinz Alfred) Kissinger","Algiers","Met with President Boumediene en route to the Middle East.","April 29–30, 1974","Algeria","1974"
"31","Henry A. (Heinz Alfred) Kissinger","Algiers","Reviewed the Middle East peace process with President Boumediene.","October 14–15, 1974","Algeria","1974"
"32","James Addison Baker","Algiers","Discussed a Middle East peace conference with President Benjedid and Foreign Minister Ghozali.","August 5, 1991","Algeria","1991"
"33","Madeleine Korbel Albright","Algiers","Witnessed the signing of the Ethiopia-Eritrea Peace Agreement.","December 12, 2000","Algeria","2000"
"34","Colin Luther Powell","Algiers","Met with President Bouteflika and Foreign Minister Belkhadem.","December 3, 2003","Algeria","2003"
"35","Condoleezza Rice","Algiers","Met with President Bouteflika.","September 6, 2008","Algeria","2008"
"36","Hillary Rodham Clinton","Algiers","Met with President Abdelaziz Bouteflika and held a civil society roundtable.","February 25–26, 2012","Algeria","2012"
"37","Hillary Rodham Clinton","Algiers","Met with President Abdelaziz Bouteflika.","October 29–30, 2012","Algeria","2012"
"38","John Forbes Kerry","Algiers","Co-chaired the U.S.-Algeria Strategic Dialogue.","April 3, 2014","Algeria","2014"
"39","Warren Minor Christopher","Luanda","Met with President dos Santos and visited UN military observers.","October 14, 1996","Angola","1996"
"40","Madeleine Korbel Albright","Luanda","Discussed Lusaka peace process with President Dos Santos.","December 12, 1997","Angola","1997"
"41","Colin Luther Powell","Luanda","Met with President dos Santos and attended a meeting of the Joint Commission for the Implementation of the Lusaka Protocols.","September 5, 2002","Angola","2002"
"42","Hillary Rodham Clinton","Luanda","Met with Foreign Minister dos Anjos, addressed the National Assembly and signed a memorandum of understanding with Chevron and USAID.","August 9–10, 2009","Angola","2009"
"43","John Forbes Kerry","Luanda","Met with President Jose Eduardo dos Santos and Foreign Minister Georges Chikoli. Visited a GE facility.","May 4–5, 2014","Angola","2014"
"44","Michael R. Pompeo","Luanda","Met with President Joao Lourenço and Foreign Minister Manuel Augusto.","February 17, 2020","Angola","2020"
"45","John Forbes Kerry","McMurdo Sound, South Pole","Visited the McMurdo Station and the Amundsen-Scott South Pole Station. First visit of a Secretary of State to Antarctica.","November 10–12, 2016","Antarctica","2016"
"46","Elihu Root","Buenos Aires, Bahia Blanca","Met with President Figueroa and Foreign Minister Montes; delivered several public addresses.","August 14–21, 1906","Argentina","1906"
"47","Bainbridge Colby","Buenos Aires","Official visit.","January 1–4, 1921","Argentina","1921"
"48","Cordell Hull","Buenos Aires","Met with President Justo and addressed the American Club. Toured Argentine Lakes District en route to Chile.","December 27–31, 1933","Argentina","1933"
"49","Cordell Hull","Buenos Aires","Attended Inter-American Conference for the Maintenance of Peace.","November 25–December 26, 1936","Argentina","1936"
"50","Christian Archibald Herter","Buenos Aires, Mar del Plata, San Carlos de Bariloche","Accompanied President Eisenhower on a good will tour.","February 26–29, 1960","Argentina","1960"
"51","David Dean Rusk","Buenos Aires","Met with Foreign Minister Zavala Ortiz.","November 15–16, 1965","Argentina","1965"
"52","David Dean Rusk","Buenos Aires","Attended the Third Special Inter-American Conference.","February 14–21, 1967","Argentina","1967"
"53","William Pierce Rogers","Buenos Aires","Attended the inauguration of President Campora.","May 23–26, 1973","Argentina","1973"
"54","Cyrus Roberts Vance","Buenos Aires","Met with President Videla and senior Argentinian officials.","November 20–22, 1977","Argentina","1977"
"55","Alexander Meigs Haig","Buenos Aires","Attempted to resolve the Falkland/Malvinas crisis. Stopped in Dakar, Senegal, April 9 on way from London.","April 9–11, 1982","Argentina","1982"
"56","Alexander Meigs Haig","Buenos Aires","Attempted to resolve the Falkland/Malvinas crisis.","April 15–19, 1982","Argentina","1982"
"57","George Pratt Shultz","Buenos Aires","Met with President Alfonsin and senior Argentine officials.","August 2–4, 1988","Argentina","1988"
"58","Warren Minor Christopher","Buenos Aires","Met with President Menem and Foreign Minister Di Tella. Signed agreement on space cooperation.","February 28–March 1, 1996","Argentina","1996"
"59","Madeleine Korbel Albright","Buenos Aires","Accompanied President Clinton.","October 15–17, 1997","Argentina","1997"
"60","Madeleine Korbel Albright","Buenos Aires","Met with President De la Rua and Foreign Minister Giavarini.","August 15–17, 2000","Argentina","2000"
"61","Colin Luther Powell","Buenos Aires","Met with President Kirchner.","June 10, 2003","Argentina","2003"
"62","Condoleezza Rice","Mar del Plata","Accompanied President Bush to the Summit of the Americas.","November 3–5, 2005","Argentina","2005"
"63","Hillary Rodham Clinton","Buenos Aires","Met with President Fernandez de Kirchner.","March 1–2, 2010","Argentina","2010"
"64","John Forbes Kerry","Buenos Aires","Met with President Mauricio Macri, opened the U.S.-Argentina High Level Dialogue, and addressed the Argentine-American Chamber of Commerce.","August 3–4, 2016","Argentina","2016"
"65","Rex W. Tillerson","San Carlos de Bariloche, Buenos Aires","Met with President Mauricio Macri and Foreign Minister Jorge Faurie.","February 3–4, 2018","Argentina","2018"
"66","Michael R. Pompeo","Buenos Aires","Supported President Trump’s participation in the G20 Leaders’ Summit.","November 29–December 1, 2018","Argentina","2018"
"67","Michael R. Pompeo","Buenos Aires","Joined regional leaders for the Second Western Hemisphere Counterterrorism Ministerial.","July 19, 2019","Argentina","2019"
"68","James Addison Baker","Yerevan","Met with President Ter-Petrossian.","February 11–12, 1992","Armenia","1992"
"69","Hillary Rodham Clinton","Yerevan","Met with President Sargsian and Foreign Minister Nalbandian and with civic leaders.","July 4–5, 2010","Armenia","2010"
"70","Hillary Rodham Clinton","Yerevan","Met with President Serz Sargsian and Foreign Minister Eduard Nalbandian. Addressed the Universal Rights Award Ceremony.","June 4–5, 2012","Armenia","2012"
"71","John Foster Dulles","Canberra","Attended Third Meeting of SEATO Council of Ministers. Left Washington March 6; returned March 17.","March 9–14, 1957","Australia","1957"
"72","David Dean Rusk","Canberra","Attended ANZUS Council Meeting.","May 8–9, 1962","Australia","1962"
"73","David Dean Rusk","Canberra","Attended SEATO and ANZUS Council Meetings.","June 25–July 2, 1966","Australia","1966"
"74","William Pierce Rogers","Canberra","Attended ANZUS Council Meeting.","August 7–9, 1969","Australia","1969"
"75","William Pierce Rogers","Canberra, Perth","Attended SEATO and ANZUS Council Meetings.","June 24–29, 1972","Australia","1972"
"76","Cyrus Roberts Vance","Canberra","Attended ANZUS Council Meeting.","July 3–5, 1979","Australia","1979"
"77","George Pratt Shultz","Canberra","Met with Prime Minister Hawke and Foreign Minister Hayden.","July 14–15, 1984","Australia","1984"
"78","George Pratt Shultz","Perth, Canberra","Attended ANZUS Ministerial Meeting.","July 13–16, 1985","Australia","1985"
"79","George Pratt Shultz","Sydney","Met with Prime Minister Hawke and Foreign Minister Hayden.","June 20–22, 1987","Australia","1987"
"80","James Addison Baker","Sydney, Canberra","Attended U.S.-Australian Bilateral Ministerial Meeting and Conference on Asia Pacific Economic Cooperation.","November 1–8, 1989","Australia","1989"
"81","Warren Minor Christopher","Canberra","Attended Australia-U.S. Ministerial Meeting.","March 7–9, 1994","Australia","1994"
"82","Warren Minor Christopher","Sydney","Attended Australia-U.S. Ministerial talks.","July 25–27, 1996","Australia","1996"
"83","Madeleine Korbel Albright","Sydney","Attended Australia-U.S. Ministerial Meeting.","July 29–August 1, 1998","Australia","1998"
"84","Colin Luther Powell","Canberra","Attended Australia-U.S. Ministerial Meeting.","July 29–30, 2001","Australia","2001"
"85","Condoleezza Rice","Sydney, Melbourne","Met with Foreign Minister Downer and held Trilateral Strategic Dialogue with Australia and Japan.","March 15–18, 2006","Australia","2006"
"86","Condoleezza Rice","Sydney","Accompanied President Bush to the APEC leaders’ meeting.","September 4–7, 2007","Australia","2007"
"87","Condoleezza Rice","Perth","Met with Foreign Minister Smith.","July 24–25, 2008","Australia","2008"
"88","Hillary Rodham Clinton","Melbourne","Attended the Australia-United States Ministerial Consultation. Met with the Prime Minister Gillard and Foreign Minister Rudd.","November 5–7, 2010","Australia","2010"
"89","Hillary Rodham Clinton","Perth, Adelaide","Met with Prime Minister Julia Gillard, Foreign Minister Robert Carr, and Defense Minister Stephen Smith. Opened the Perth USAsia Center. Attended the Australia-United States Ministerial Consultations.","November 13–15, 2012","Australia","2012"
"90","John Forbes Kerry","Sydney","Attended the Australia-U.S. Ministerial Consultations.","August 11–13, 2014","Australia","2014"
"91","Rex W. Tillerson","Sydney","Attended the Australia-U.S. Ministerial Consultations.","June 5–6, 2017","Australia","2017"
"92","Michael R. Pompeo","Sydney","Led the U.S. delegation to the Australia-United States Ministerial Consultations and met with Prime Minister Scott Morrison.","August 4–5, 2019","Australia","2019"
"93","Dean Gooderham Acheson","Vienna","Met with Austrian officials.","June 29–30, 1952","Austria","1952"
"94","John Foster Dulles","Vienna","Signed the Austrian State Treaty.","May 13–15, 1955","Austria","1955"
"95","John Foster Dulles","Vienna","Unofficial visit. Attended opening of the Vienna State Opera.","November 5–6, 1955","Austria","1955"
